生效日期,证券代码,证券名称,证券英文名称,交易所,证监会行业分类代码,证监会行业分类名称,证监会行业分类英文名称,证监会行业分类代码(全),证监会行业分类名称(全),证监会行业分类英文名称(全)
2021/2/19,002479,富春环保,Zhejiang Fuchunjiang Environmental Thermoelectric Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,002480,新筑股份,Chengdu Xinzhu Road & Bridge Machinery Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002481,双塔食品,Yantai Shuang Ta Food Co Ltd,Shenzhen,C,制造业,Manufacturing,14,食品制造业,Foodstuff manufacturing
2021/2/19,002482,广田集团,"SHENZHEN GRANDLAND GROUP CO., LTD.",Shenzhen,E,建筑业,Construction,50,建筑装饰和其他建筑业,Building fitting up 、decoration and other construction
2021/2/19,002483,润邦股份,Jiangsu Rainbow Heavy Industries Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002484,江海股份,Nantong Jianghai Capacitor Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002485,希努尔,Sinoer Men's Wear Co Ltd,Shenzhen,N,水利、环境和公共设施管理业,water conservancy、environment and Public facilities management,78,公共设施管理业,Public facilities management
2021/2/19,002486,嘉麟杰,Shanghai Challenge Textile Co Ltd,Shenzhen,C,制造业,Manufacturing,18,纺织服装、服饰业,Manufacturers of clothes and other fibre products
2021/2/19,002487,大金重工,Dajin Heavy Industry Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,002488,金固股份,Zhejiang Jingu Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002489,浙江永强,Yotrio Group Co Ltd,Shenzhen,C,制造业,Manufacturing,21,家具制造业,furniture manufacturing
2021/2/19,002490,山东墨龙,Shandong Molong Petroleum Machinery Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,002491,通鼎互联,"TONGDING INTERCONNECTION INFORMATION CO., LTD.",Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002492,恒基达鑫,Zhuhai Winbase International Chemical Tank Terminal Co Ltd,Shenzhen,G,交通运输、仓储和邮政业,Transportation,59,仓储业,Storage
2021/2/19,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,Shenzhen,C,制造业,Manufacturing,28,化学纤维制造业,Chemical fibres Manufacturing
2021/2/19,002494,华斯股份,Huasi Holding Company Limited,Shenzhen,C,制造业,Manufacturing,19,皮革、毛皮、羽毛及其制品和制鞋业,"Manufacturing of leather, fur, feather and other products"
2021/2/19,002495,佳隆股份,Guangdong Jialong Food Co Ltd,Shenzhen,C,制造业,Manufacturing,14,食品制造业,Foodstuff manufacturing
2021/2/19,002496,*ST辉丰,"JIANGSU HUIFENG BIO AGRICULTURE CO., LTD.",Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002497,雅化集团,Sichuan Yahua Industrial Group Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002498,汉缆股份,Qingdao Hanhe Cable Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002499,*ST科林,Kelin Environmental Protection Equipment Co Ltd,Shenzhen,D,电力、热力、燃气及水的生产和供应业,Utilities,44,电力、热力生产和供应业,"Electric power, steam and hot water production and supply"
2021/2/19,002500,山西证券,Shanxi Securities Co Ltd,Shenzhen,J,金融业,Finance,67,资本市场服务,capital market service
2021/2/19,002501,*ST利源,"Jilin Liyuan Precision Manufacturing Co., Ltd.",Shenzhen,C,制造业,Manufacturing,32,有色金属冶炼及压延加工业,Non-ferrous metal foundries and presses
2021/2/19,002502,*ST鼎龙,"Dinglong Culture Co.,Ltd.",Shenzhen,R,文化、体育和娱乐业,Culture、sports and entertainment,86,广播、电视、电影和影视录音制作业,"Broadcasting, movie and television"
2021/2/19,002503,搜于特,Dongguan Souyute Fashion Co Ltd,Shenzhen,C,制造业,Manufacturing,18,纺织服装、服饰业,Manufacturers of clothes and other fibre products
2021/2/19,002504,弘高创意,"Beijing Honggao Creative Construction Design Co., Ltd",Shenzhen,E,建筑业,Construction,50,建筑装饰和其他建筑业,Building fitting up 、decoration and other construction
2021/2/19,002505,鹏都农牧,"PENGDU AGRICULTURE & ANIMAL HUSBANDRY CO.,LTD.",Shenzhen,F,批发和零售业,Wholesale and retail,51,批发业,Wholesale
2021/2/19,002506,协鑫集成,"GCL System Integration Technology Co., Ltd.",Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002507,涪陵榨菜,Chongqing Fuling Zhacai Group Co Ltd,Shenzhen,C,制造业,Manufacturing,14,食品制造业,Foodstuff manufacturing
2021/2/19,002508,老板电器,Hangzhou Robam Appliances Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002510,天汽模,Tianjin Motor Dies Co Ltd,Shenzhen,C,制造业,Manufacturing,36,汽车制造业,Automobile manufacturing
2021/2/19,002511,中顺洁柔,C&S Paper Co Ltd,Shenzhen,C,制造业,Manufacturing,22,造纸及纸制品业,Paper making and paper products
2021/2/19,002512,达华智能,Tatwah Smartech Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002513,*ST蓝丰,Jiangsu Lanfeng Bio-chemical Co Ltd,Shenzhen,C,制造业,Manufacturing,26,化学原料及化学制品制造业,Chemical material and products manufacturing
2021/2/19,002514,宝馨科技,Suzhou Boamax Technologies Group Co Ltd,Shenzhen,C,制造业,Manufacturing,33,金属制品业,Metal products
2021/2/19,002515,金字火腿,Jinzi Ham Co Ltd,Shenzhen,C,制造业,Manufacturing,13,农副食品加工业,Food processing
2021/2/19,002516,旷达科技,"Kuangda Technology Group Co., Ltd.",Shenzhen,C,制造业,Manufacturing,17,纺织业,Textile
2021/2/19,002517,恺英网络,Taiya Shoes Co Ltd,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002518,科士达,Shenzhen Kstar Science And Technology Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002519,银河电子,Jiangsu Yinhe Electronics Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002520,日发精机,"Zhejiang RIFA Precision Machinery Co., Ltd.",Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002521,齐峰新材,"QIFENG NEW MATERIAL CO., LTD.",Shenzhen,C,制造业,Manufacturing,22,造纸及纸制品业,Paper making and paper products
2021/2/19,002522,浙江众成,Zhejiang Zhongcheng Packing Material Co Ltd,Shenzhen,C,制造业,Manufacturing,29,橡胶和塑料制品业,Rubber and Plastic manufacturing
2021/2/19,002523,天桥起重,Zhuzhou Tianqiao Crane Co Ltd,Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002524,光正眼科,Guangzheng Eye Hospital Group Co.Ltd,Shenzhen,Q,卫生和社会工作业,hygienism and social work,83,卫生,hygienism
2021/2/19,002526,山东矿机,Shandong Mining Machinery Group Co Ltd,Shenzhen,C,制造业,Manufacturing,35,专用设备制造业,Special equiment manufacturing
2021/2/19,002527,新时达,Shanghai STEP Electric Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
2021/2/19,002528,英飞拓,Shenzhen Infinova Co Ltd,Shenzhen,C,制造业,Manufacturing,39,计算机、通信和其他电子设备制造业,Computer、Communications and other electronic equipment manufacturing
2021/2/19,002529,*ST海源,"FUJIAN HAIYUAN COMPOSITES TECHNOLOGY CO.,LTD.",Shenzhen,C,制造业,Manufacturing,34,通用设备制造业,Common machines manufacturing
2021/2/19,002530,金财互联,JC Finance & Tax Interconnect Holdings Ltd.,Shenzhen,I,信息传输、软件和信息技术服务业,information transmission、software and information technology service,64,互联网和相关服务,internet and related service
2021/2/19,002531,天顺风能,Titan Wind Energy (Suzhou) Co Ltd,Shenzhen,C,制造业,Manufacturing,38,电气机械及器材制造业,Electric equipment and parts manufacturing
